Slno,Videotitles,Published_date,Views,Likes,Comments,Month
158,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,12-07-2022,205945,3720,94,Jul
159,Machine Learning Specialization on Coursera | Review,05-07-2022,24409,775,63,Jul
160,Meta Marketing Analytics Professional Certificate on Coursera | Review,28-06-2022,34901,914,102,Jun
161,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,21-06-2022,45552,1647,134,Jun
162,How to use Power Query in Power BI | Microsoft Power BI for Beginners,14-06-2022,289090,4681,86,Jun
163,Automating Crypto Website API Pull Using Python | Data Analyst Project,07-06-2022,61449,1046,92,Jun
164,How to use a Public API | Using a Public API with Python,31-05-2022,39877,1309,69,May
165,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,24-05-2022,428124,7495,249,May
166,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,17-05-2022,131299,2773,269,May
167,Top 3 Tips to Stop Procrastinating to be Successful,10-05-2022,33304,1678,158,May
168,SQL vs NoSQL | What's the Difference?,03-05-2022,58704,1782,67,May
169,Database vs Data Warehouse vs Data Lake | What is the Difference?,26-04-2022,737235,19508,293,Apr
170,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,20-04-2022,11802,321,161,Apr
171,200k Livestream! | Shaving | Puppies | Giveaway,14-04-2022,3172,133,11,Apr
172,Things I HATE About Being a Data Analyst,12-04-2022,35797,1494,201,Apr
173,Best Website to Practice Technical Interview Questions,05-04-2022,18992,662,55,Apr
174,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,29-03-2022,7071,276,161,Mar
175,Full Project in Excel | Excel Tutorials for Beginners,22-03-2022,743980,16110,958,Mar
176,Top 5 Non-Technical Skills for Data Analysts,15-03-2022,21600,814,73,Mar
177,Cleaning Data in Excel | Excel Tutorials for Beginners,01-03-2022,497069,10503,298,Mar
178,Tableau Data Analyst Certification Review,22-02-2022,63945,1583,127,Feb
179,Job Title Alternatives for Data Analysts,15-02-2022,26213,1017,95,Feb
180,Best Coursera Courses for Data Analysts in 2022,08-02-2022,116621,5690,220,Feb
181,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,01-02-2022,20930,721,61,Feb
182,Charts in Excel | Excel Tutorials for Beginners,25-01-2022,117710,3018,61,Jan
183,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,18-01-2022,22988,859,361,Jan
