Slno,Videotitles,Published_date,Views,Likes,Comments,Month
77,How to Work with Recruiters on LinkedIn,15-08-2023,33869,1763,82,Aug
78,#dataanalysis #dataportfolio,14-08-2023,24129,2178,24,Aug
79,#wife #careerchange #dataanalysis,11-08-2023,19601,1853,51,Aug
80,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,09-08-2023,6726,718,44,Aug
81,Regular Expression Character Classes in Python,08-08-2023,9201,167,13,Aug
82,#Recruiters #dataanalysis #data,03-08-2023,15700,1085,24,Aug
83,Regular Expression Metacharacters in Python,01-08-2023,7063,184,8,Aug
84,How much do Data Analysts make? #dataanalyst #dataanalystsalary,31-07-2023,19254,756,41,Jul
85,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,28-07-2023,45556,2763,41,Jul
86,Regular Expression Methods in Python,25-07-2023,10429,263,13,Jul
87,What are Hiring Managers Looking For? | Nail the Interview Process!,18-07-2023,27763,1138,66,Jul
88,Scraping Data from a Real Website | Web Scraping in Python,11-07-2023,377387,6976,280,Jul
89,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,06-07-2023,205935,6185,109,Jul
